20161124005529.920	54.349654	-117.22701	3.307	195	46	178	15334	-0.08
20161122141605.480	54.350094	-117.227344	3.329	193	46	172	13848	0.68
20161122120049.740	54.34989	-117.227498	3.331	193	47	172	13469	-0.42
20161122120956.630	54.349923	-117.227393	3.331	193	47	173	13490	0.19
20161124034943.190	54.349764	-117.226904	3.304	196	48	176	15441	-0.07
20161122095100.880	54.349377	-117.227547	3.321	197	49	-179	13071	0.6
20161123061900.740	54.350317	-117.227035	3.323	197	51	-175	14701	-0.44
20161124181019.500	54.34965	-117.227458	3.326	193	44	177	15885	-0.2
20161126071552.790	54.349679	-117.22701	3.324	200	48	-177	17903	-0.48
20161122083102.790	54.350134	-117.227165	3.323	194	48	178	12841	-0.17
20161124122256.080	54.349569	-117.22749	3.335	194	44	180	15749	-0.32
20161122123120.460	54.349992	-117.227433	3.33	195	47	174	13571	-0.23
20161122132438.660	54.350122	-117.227401	3.332	193	48	174	13720	-0.36
20161123210327.060	54.34928	-117.227393	3.313	200	58	-168	15232	-0.49
20161122132712.000	54.350159	-117.227336	3.333	197	48	178	13726	-0.77
20161125023901.030	54.350187	-117.227051	3.321	198	51	-180	16253	-0.49
20161123095748.620	54.350244	-117.227059	3.317	196	54	-173	14904	-0.19
20161123200910.290	54.349764	-117.226872	3.298	193	50	175	15211	-0.51
20161122201745.090	54.34954	-117.227173	3.305	197	49	176	14193	0.28
